Title,Author,Genre,PublishedYear,ISBN
52 Tuesdays,Blakelee,Children|Drama,2007,737-589-7608
Stitches,Shannen,Comedy|Horror,2012,525-924-6149
"New Kind of Love, A",Myca,Comedy,2009,384-748-4618
Auto Focus,Jude,Crime|Drama,2000,138-866-8193
"Saint in London, The",Avis,Action|Comedy|Crime|Drama|Mystery,2008,331-275-6292
Facing Ali,Shaine,Documentary,2003,725-262-0130
Dance Me Outside,Kirby,Comedy|Drama,1996,905-944-7274
Desert Winds,Jarrad,Drama|Fantasy|Romance,2002,577-693-5039
Teen Beach Movie,Norbert,Children|Musical,1996,623-847-3264
"Legend of Sleepy Hollow, The",Caresa,Comedy|Fantasy|Horror,2001,520-746-7086
"Resurrection, A",Thadeus,Horror|Thriller,2006,979-780-6897
Lorna's Silence (Le silence de Lorna),Amabelle,Drama,1999,141-540-9071
Mad Dog Time,Drugi,Crime,2010,905-517-4878
Tonight You're Mine,Georgette,Comedy|Drama,1986,717-328-0160
Jennifer 8,Clemmy,Mystery|Thriller,2003,856-527-5105
"Time for Drunken Horses, A (Zamani barayé masti asbha)",Orelee,Drama,1988,497-442-6334
White: The Melody of the Curse,Elden,Horror,2003,377-809-5786
Dillinger Is Dead (Dillinger è morto),Jeri,Crime|Drama,2012,488-962-2434
The White Sister,Spencer,Drama|Romance,1978,268-906-3785
Preaching to the Perverted,Tobye,Comedy|Drama,1984,804-682-5123
Monday Night Mayhem,Chaim,Drama,2003,531-776-4417
Diary of a Cannibal,Margareta,Crime|Horror,1997,410-373-1698
I'm So Excited (Los amantes pasajeros),Deborah,Comedy,1998,668-349-6752
Lucky Break,Gerri,Comedy|Crime,2000,575-358-5506
MacGyver: Trail to Doomsday,Morley,Action|Adventure,2011,100-800-5586
Go,Timoteo,Comedy|Crime,1999,380-455-4975
Due Date,Winnie,Comedy,1999,885-449-4532
Sex Tape,Elysia,Comedy,1989,965-907-6107
Into the White (Cross of Honour),Gabriel,Action|Drama|War,2003,465-300-8881
Dating the Enemy,Natal,Comedy|Romance,2008,438-139-2320
"Warrior and the Sorceress, The",Bastien,Action|Adventure|Fantasy|Sci-Fi,2006,760-237-1241
The Big Flame,Griswold,Drama,1998,188-358-2440
Gunbuster (Top wo Narae),Dimitry,Action|Animation|Drama|Sci-Fi,1988,118-487-3290
Victor Sjöström: Ett porträtt,Estrellita,Documentary,2010,544-220-3338
El tren de la memoria,Tillie,Documentary,2001,812-721-6752
For the Love of Movies,Windy,Documentary,1985,546-702-2844
Winnebago Man,Lexie,Comedy|Documentary,2003,138-672-6352
"Boys from Brazil, The",Nial,Action|Mystery|Thriller,1996,657-942-2016
Herman's House,Tally,Crime|Documentary,2007,690-503-7894
Defiance,Maribel,Action|Crime|Drama,2005,614-574-5709
Kaksparsh,Jordan,Drama,2012,736-234-3294
Bent,Amil,Drama|War,1997,520-897-6285
Gold Diggers of 1935,Mimi,Comedy|Musical,1995,802-715-9518
Dry Summer (Susuz yaz) (Reflections),Quinn,Drama,1998,400-822-8868
Colin Quinn: Long Story Short,Sunshine,Comedy,1995,864-357-6487
Festival Express,Lon,Documentary|Musical,2004,749-733-8096
In Two Minds,Olly,(no genres listed),2010,820-282-0243
Biker Boyz,Antoine,Action|Crime|Drama,1990,908-317-3597
Gods and Monsters,Ingra,Drama,1994,524-838-1641
Maskerade,Willy,Comedy|Romance,2003,883-138-1365
Orwell Rolls in His Grave,Agna,Documentary,1992,879-570-1338
Evil Remains (Trespassing),Octavius,Horror|Thriller,2006,170-682-0902
Carolina Moon,Darn,Drama|Mystery|Romance,2010,825-492-2994
Malice N Wonderland,Kalle,Drama|Musical,1996,942-172-1748
Slap Shot 2: Breaking the Ice,Rivalee,Comedy,1994,832-410-3409
My Left Foot,Stella,Drama,1999,667-379-5637
Gigantic (A Tale of Two Johns),Ram,Documentary,2002,627-714-5717
Slumming,Leonie,Comedy|Drama,2009,400-521-1606
Happy End,Janine,Drama,2009,590-483-2355
Addicted,Hanny,Drama,2007,452-962-8099
Must Have Been Love,Alaine,Drama|Romance,2009,778-218-5647
Suicide Club,Krysta,Adventure|Comedy|Drama,1998,235-475-1105
Steamboat Round the Bend,Thoma,Comedy|Drama,1990,393-863-2308
Blackrock,Nikola,Drama|Thriller,1988,297-949-9530
Being Human,Ogden,Drama,2011,969-604-3457
"Very Long Engagement, A (Un long dimanche de fiançailles)",Gussy,Drama|Mystery|Romance|War,1993,390-278-8360
In the Time of the Butterflies,Joya,Crime|Drama,1998,238-637-0319
"Strange Little Cat, The (Das merkwürdige Kätzchen)",Morganne,Comedy|Drama,2003,866-388-3910
Tae Guk Gi: The Brotherhood of War (Taegukgi hwinalrimyeo),Violante,Action|Drama|War,1988,755-118-2594
"Indian in the Cupboard, The",Monro,Adventure|Children|Fantasy,2000,480-942-0689
"Life of Another, The (La vie d'une autre)",Leeann,Comedy|Drama|Mystery,2011,174-506-3925
Tough Enough (Knallhart),Tracie,Crime|Drama,2006,951-574-9285
"Cardinal, The",Renaud,Drama,2005,520-576-0733
"Prophet, the Gold and the Transylvanians, The (Profetul, aurul si Ardelenii)",Loreen,Comedy|Western,1996,308-875-3526
Are You Scared?,Pauletta,Horror,1987,111-932-2688
Rebecca of Sunnybrook Farm,Micaela,Children|Comedy|Drama|Musical,1995,282-488-0520
"Big Hangover, The",Brenda,Comedy,1986,212-801-9377
"Magic Flute, The (Trollflöjten)",Belle,Comedy|Fantasy|Musical|Romance,1996,299-711-2840
Texas Across the River,Killie,Comedy|Western,2004,202-105-6991
"Kidnapping of the President, The",Hanson,Action|Drama|Thriller,1992,642-185-8419
Essex Boys,Alica,Crime|Thriller,2010,111-174-0148
"Uninvited, The",Sorcha,Drama|Horror|Mystery|Thriller,2001,127-116-3212
"Crimson Permanent Assurance, The",Leda,Adventure|Comedy,1995,734-174-0891
"The Tree, the Mayor and the Mediatheque",Franky,Comedy,1998,274-389-9760
Beyond a Reasonable Doubt,Othilie,Crime|Drama|Film-Noir,2004,552-517-1301
"Veteran, The",Van,Action|Thriller,1995,324-322-3963
Hoot,Aveline,Children|Comedy,2012,374-198-6312
Power 98,Melba,Action|Mystery|Thriller,1997,661-113-8253
"Against One Another, Virtually Friends",Lotti,Comedy,1984,132-453-5965
Contact,Karim,Drama|Sci-Fi,2009,844-147-8884
U.S. Seals,Bobby,Action|Thriller,1995,192-388-8900
Amazonia,Pansie,Adventure|Documentary,1993,814-593-4742
Mermaids,Sinclair,Comedy|Drama|Romance,1967,773-810-6168
"Hunchback of Notre Dame, The",Aida,Drama,1980,621-534-6251
Dune,Hermann,Adventure|Sci-Fi,1991,565-105-5540
Born to Be Wild,Hendrika,Documentary|IMAX,2007,508-763-0475
Nine Ways to Approach Helsinki (Yhdeksän tapaa lähestyä Helsinkiä),Jemimah,Documentary,2011,525-590-0895
Semi-Pro,Cart,Comedy,1993,939-768-1252
Education for Death,Dore,Animation|Comedy,2010,599-446-7560
"Everlasting Piece, An",Rea,Comedy,2003,577-996-7958
Rise of the Planet of the Apes,Kory,Action|Drama|Sci-Fi|Thriller,2011,490-400-7139
Myn Bala: Warriors of the Steppe,Rea,Action|Adventure|Drama,1996,471-822-3885
"Reckoning, The",Ellissa,Crime|Mystery|Thriller,1989,401-369-8189
The Magnificent Gladiator,Adrian,Action|Adventure|Drama,2009,245-523-2161
Sick Girl,Carlin,Crime|Horror|Thriller,2009,371-246-3709
Escape from Dartmoor,Davon,Crime|Drama,2003,824-166-1346
My New Gun,Orelle,Comedy,1988,437-903-6152
Jauja,Dukey,Drama|Western,1998,348-122-2513
Blaise Pascal,Henri,Drama,2008,712-568-0062
Hype!,Thorvald,Documentary,2002,689-712-6061
Take Me Out to the Ball Game,Odilia,Comedy|Musical|Romance,2002,907-596-2730
Kolmistaan,Jennie,Drama|Romance,2005,105-601-3204
G-Force,Hyacinthe,Action|Adventure|Children|Fantasy,1996,342-698-1944
Fame High,Orson,Documentary,1997,219-211-3014
How Do You Write a Joe Schermann Song,Alli,Comedy|Drama|Musical,2001,810-958-9030
"Maybe, Maybe Not (Bewegte Mann, Der)",Jaquelyn,Comedy,2012,900-833-0106
Three Days of the Condor (3 Days of the Condor),Gerri,Drama|Mystery|Romance|Thriller,1994,490-567-6451
She Creature (Mermaid Chronicles Part 1: She Creature),Eamon,Fantasy|Horror|Thriller,2011,219-856-9120
American Heist,Audie,Action,2007,372-869-4946
"Corruptor, The",Jami,Action|Crime|Drama|Thriller,1997,534-592-3932
Memphis Belle,Arabella,Action|Drama|War,1989,206-673-1117
"Mourning Forest, The (Mogari no mori)",Bertrand,Drama,1997,504-194-3475
"Duchess of Langeais, The (a.k.a. Don't Touch the Axe) (Ne touchez pas la hache)",Lyon,Drama|Romance,1997,709-480-3446
40 Guns to Apache Pass,Berny,Adventure|Romance|Western,2010,298-985-2946
Don't Drink the Water,Weylin,Comedy,2001,958-631-5991
Light Is Calling,Sawyer,(no genres listed),2011,816-289-9782
Agora,Eddy,Adventure|Drama|Romance,2010,652-680-3394
"Odd Couple, The",Stavros,Comedy,1986,393-445-4254
Bounty Killer,Rosaleen,Action|Sci-Fi|Thriller,2011,204-440-7011
Nobody Knows (Dare mo shiranai),Addi,Drama,1998,735-392-2800
Being John Malkovich,Muhammad,Comedy|Drama|Fantasy,2007,725-886-0918
Shutter,Ethelred,Fantasy|Horror|Mystery|Thriller,2004,548-712-8972
Carry on Screaming!,Ambrosius,Comedy|Horror,2010,150-934-1472
"Bullfighters, The",Addia,Comedy|Musical,2000,848-794-4989
Swimming with Sharks,Riannon,Comedy|Drama,2004,706-741-3737
De Dana Dan,Gradeigh,Comedy,2004,530-592-5529
